Epoch 0 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 0 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 1 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 1 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 2 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 2 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 3 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 3 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 4 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 4 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 5 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 5 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 6 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 6 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 7 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 7 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 8 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 8 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 9 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 9 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 10 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 10 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 11 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 11 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 12 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 12 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 13 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 13 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 14 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 14 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 15 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 15 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 16 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 16 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 17 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 17 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 18 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 18 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 19 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 19 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 20 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 20 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 21 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 21 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 22 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 22 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 23 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 23 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 24 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 24 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 25 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 25 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 26 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 26 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 27 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 27 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 28 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 28 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 29 Train Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037 | Accuracy: 0.4963
Epoch 29 Val Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
Epoch 30 Test Loss: 0.7871 | MSE: 0.5037 | MAE: 0.5037  | Accuracy: 0.4963
